tag_pairs,count
"['cs.CG', 'cs.GT']",2
"['cs.AR', 'math.OC']",3
"['cs.CV', 'physics.comp-ph']",9
"['math.GT', 'math.OC']",1
"['cond-mat.dis-nn', 'cs.DS']",4
"['cs.MA', 'q-fin.ST']",1
"['eess.AS', 'eess.IV']",32
"['astro-ph.SR', 'cs.AI']",4
"['cs.DS', 'cs.ET']",13
"['q-bio.NC', 'stat.AP']",6
"['cs.SC', 'physics.comp-ph']",5
"['cs.CR', 'cs.SC']",7
"['cs.CC', 'math.HO']",2
"['cs.LO', 'math.NA']",2
"['math.FA', 'q-fin.TR']",1
"['cs.CY', 'cs.PF']",5
"['cs.CE', 'nlin.CD']",5
"['cs.ET', 'cs.PL']",6
"['math-ph', 'quant-ph']",57
"['cs.CC', 'cs.NE']",9
"['cs.CR', 'stat.ME']",28
"['eess.SP', 'physics.ins-det']",3
"['cs.MM', 'eess.SP']",19
"['cs.GR', 'cs.HC']",127
"['cs.SC', 'econ.TH']",2
"['q-bio.PE', 'q-bio.QM']",10
"['cs.CG', 'q-bio.NC']",3
"['cs.DB', 'cs.IT']",18
"['cs.GT', 'cs.RO']",16
"['cs.CC', 'hep-th']",5
"['physics.app-ph', 'physics.soc-ph']",1
"['math.QA', 'q-bio.QM']",1
"['cs.CG', 'cs.NI']",1
"['physics.optics', 'physics.plasm-ph']",1
"['math.OC', 'math.RT']",2
"['cs.LG', 'math.PR']",251
"['eess.IV', 'stat.ME']",5
"['cs.LG', 'math.CA']",11
"['math.MG', 'math.RT']",1
"['cs.DS', 'math.GT']",3
"['cs.DS', 'q-fin.RM']",1
"['cs.CY', 'cs.DM']",3
"['hep-th', 'math-ph']",12
"['gr-qc', 'quant-ph']",5
"['hep-th', 'nlin.SI']",1
"['cond-mat.dis-nn', 'cs.CY']",2
"['physics.bio-ph', 'stat.AP']",2
"['cs.CR', 'math.AT']",3
"['cond-mat.supr-con', 'cs.NE']",3
"['cs.CL', 'eess.AS']",1027
"['cs.LG', 'q-fin.TR']",61
"['cs.RO', 'eess.SP']",86
"['cs.LG', 'math.DS']",216
"['cs.CR', 'q-fin.PM']",2
"['eess.SY', 'math.PR']",15
"['math.NA', 'physics.data-an']",8
"['cs.DB', 'cs.PL']",19
"['cs.CY', 'physics.data-an']",9
"['physics.bio-ph', 'physics.data-an']",3
"['cs.DM', 'gr-qc']",3
"['cs.NE', 'q-bio.CB']",1
"['cs.CR', 'econ.EM']",3
"['cs.DL', 'cs.MA']",2
"['cs.DL', 'nlin.AO']",1
"['cs.CV', 'math.GN']",1
"['cs.CG', 'math.KT']",1
"['cond-mat.stat-mech', 'eess.SP']",1
"['cs.CL', 'cs.NE']",84
"['eess.SP', 'q-bio.NC']",44
"['cs.LG', 'physics.optics']",73
"['cs.CR', 'cs.LO']",37
"['math.AT', 'math.CO']",10
"['physics.soc-ph', 'q-bio.GN']",1
"['math.AP', 'math.OA']",3
"['cs.AR', 'hep-ex']",3
"['cs.GT', 'math.FA']",2
"['math.GN', 'math.OC']",2
"['cond-mat.other', 'cs.CE']",3
"['physics.data-an', 'q-bio.NC']",4
"['cs.DM', 'math.CA']",1
"['cs.CE', 'cs.MS']",8
"['cs.SE', 'stat.AP']",4
"['cs.PF', 'cs.SI']",6
"['cs.HC', 'econ.GN']",18
"['math.CA', 'math.ST']",2
"['cs.CR', 'cs.RO']",25
"['cs.NE', 'nlin.PS']",3
"['cs.CV', 'math.FA']",6
"['astro-ph.IM', 'cs.SE']",2
"['cs.MA', 'stat.AP']",8
"['physics.bio-ph', 'q-bio.OT']",1
"['physics.comp-ph', 'stat.CO']",2
"['cond-mat.stat-mech', 'math.CO']",3
"['cs.RO', 'math.ST']",2
"['cs.CL', 'physics.soc-ph']",29
"['stat.CO', 'stat.ME']",63
"['cond-mat.mes-hall', 'cond-mat.mtrl-sci']",13
"['math.AT', 'math.CT']",9
"['math-ph', 'math.DS']",11
"['eess.SY', 'physics.flu-dyn']",5
"['math.MG', 'math.OC']",3
"['cs.IR', 'q-fin.PM']",1
"['cs.DL', 'econ.GN']",7
"['cs.GL', 'cs.SD']",1
"['math.GT', 'math.ST']",1
"['cs.LG', 'math.FA']",56
"['eess.SY', 'physics.ins-det']",1
"['q-bio.NC', 'q-bio.QM']",19
"['math.DS', 'nlin.CD']",14
"['cs.DL', 'cs.HC']",17
"['cs.CE', 'cs.SI']",11
"['cs.MM', 'cs.SI']",13
"['econ.TH', 'math-ph']",1
"['cond-mat.quant-gas', 'physics.atom-ph']",3
"['eess.SY', 'math.AP']",4
"['q-fin.ST', 'stat.OT']",1
"['cs.RO', 'nlin.CD']",4
"['q-bio.NC', 'stat.ML']",38
"['cond-mat.stat-mech', 'physics.soc-ph']",41
"['q-fin.RM', 'q-fin.TR']",5
"['cond-mat.dis-nn', 'cs.ET']",12
"['cs.CY', 'q-bio.PE']",5
"['cond-mat.soft', 'physics.bio-ph']",8
"['math.PR', 'physics.soc-ph']",13
"['cs.DS', 'stat.CO']",6
"['cs.DS', 'math.AP']",1
"['cs.DB', 'physics.acc-ph']",1
"['cond-mat.stat-mech', 'nlin.AO']",4
"['math.AP', 'math.CA']",1
"['cs.DC', 'math.ST']",1
"['cs.RO', 'math.AT']",2
"['cs.DB', 'stat.AP']",3
"['cs.NE', 'eess.SP']",37
"['cond-mat.str-el', 'cs.LG']",23
"['cs.CR', 'quant-ph']",230
"['cs.SI', 'stat.AP']",49
"['cs.DC', 'eess.IV']",11
"['math.DS', 'physics.data-an']",9
"['physics.data-an', 'physics.optics']",5
"['cs.SD', 'physics.flu-dyn']",5
"['cs.MS', 'math.AG']",2
"['cs.AR', 'math.NA']",3
